group,id,uuid,trial,best_text,worst_text,best,worst,option1,option2
1,9,1485983411,0,learned when younger,learned when older,leader,elated,holiday,lively
1,9,1485983411,1,learned when younger,learned when older,false,agility,cake,disappoint
1,9,1485983411,2,learned when younger,learned when older,unhappy,immoral,headlight,aggressive
1,9,1485983411,3,learned when younger,learned when older,tank,fatigued,alley,beast
1,9,1485983411,4,learned when younger,learned when older,runner,leisurely,coast,nipple
1,9,1485983411,5,learned when younger,learned when older,friend,blackmail,cemetery,mosquito
1,9,1485983411,6,learned when younger,learned when older,hat,dignified,exercise,scholar
1,9,1485983411,7,learned when younger,learned when older,dinner,wit,silk,offend
1,9,1485983411,8,learned when younger,learned when older,window,lust,jolly,comedy
1,9,1485983411,9,learned when younger,learned when older,bored,quarrel,inhabitant,carcass
1,9,1485983411,10,learned when younger,learned when older,green,burdened,dump,detached
1,9,1485983411,11,learned when younger,learned when older,bus,decompose,inspire,hell
1,9,1485983411,12,learned when younger,learned when older,grin,hostile,autumn,perfection
1,9,1485983411,13,learned when younger,learned when older,joke,regretful,birthday,army
1,9,1485983411,14,learned when younger,learned when older,hug,masturbate,invader,queen
1,9,1485983411,15,learned when younger,learned when older,rain,handicap,grenade,frustrated
1,9,1485983411,16,learned when younger,learned when older,hospital,listless,disdainful,fragrance
1,9,1485983411,17,learned when younger,learned when older,song,butter,fear,burn
1,9,1485983411,18,learned when younger,learned when older,key,embattled,art,noose
1,9,1485983411,19,learned when younger,learned when older,knot,despise,traitor,glass
1,9,1485983411,20,learned when younger,learned when older,bed,ambition,vampire,fever
1,9,1485983411,21,learned when younger,learned when older,dentist,trumpet,trophy,slave
1,9,1485983411,22,learned when younger,learned when older,pillow,inspired,pain,avalanche
1,9,1485983411,23,learned when younger,learned when older,nervous,devoted,overwhelmed,athletics
1,9,1485983411,24,learned when younger,learned when older,storm,busybody,delight,injury
1,9,1485983411,25,learned when younger,learned when older,maniac,innocent,bankrupt,desire
1,9,1485983411,26,learned when younger,learned when older,slime,insolent,present,addict
1,9,1485983411,27,learned when younger,learned when older,dead,hostage,protected,reward
1,9,1485983411,28,learned when younger,learned when older,damage,housing,identity,controlling
1,9,1485983411,29,learned when younger,learned when older,avenue,disco,champion,bake
1,9,1485983411,30,learned when younger,learned when older,sentiment,despairing,vigorous,fraud
1,9,1485983411,31,learned when younger,learned when older,slow,morbid,tornado,thankful
1,9,1485983411,32,learned when younger,learned when older,toy,stagnant,failure,mother
1,9,1485983411,33,learned when younger,learned when older,plain,maggot,palace,lamb
1,9,1485983411,34,learned when younger,learned when older,ugly,quality,violent,respectful
1,9,1485983411,35,learned when younger,learned when older,sun,depression,rescue,rabbit
1,9,1485983411,36,learned when younger,learned when older,soothe,fantasy,interest,metal
1,9,1485983411,37,learned when younger,learned when older,cancer,abduction,skeptical,diver
1,9,1485983411,38,learned when younger,learned when older,dirt,orgasm,timid,criminal
1,9,1485983411,39,learned when younger,learned when older,knowledge,garter,lavish,context
1,9,1485983411,40,learned when younger,learned when older,flower,infatuation,diploma,tool
1,9,1485983411,41,learned when younger,learned when older,book,inflammatory,confused,freedom
1,9,1485983411,42,learned when younger,learned when older,door,enraged,natural,stink
1,9,1485983411,43,learned when younger,learned when older,elbow,impressed,rough,fault
1,9,1485983411,44,learned when younger,learned when older,politeness,mantel,scorching,frigid
1,9,1485983411,45,learned when younger,learned when older,coward,mutilate,impair,obesity
1,9,1485983411,46,learned when younger,learned when older,radio,torture,waterfall,vest
1,9,1485983411,47,learned when younger,learned when older,gift,invest,terrific,stupid
1,9,1485983411,48,learned when younger,learned when older,scorpion,delayed,insult,handsome
1,9,1485983411,49,learned when younger,learned when older,shy,gossip,coffin,hydrant
