group,id,uuid,trial,best_text,worst_text,best,worst,option1,option2
1,18,1486154382,0,learned when younger,learned when older,circle,vandal,alcoholic,strong
1,18,1486154382,1,learned when younger,learned when older,bored,assault,lively,punishment
1,18,1486154382,2,learned when younger,learned when older,cow,listless,kiss,tower
1,18,1486154382,3,learned when younger,learned when older,excuse,bankrupt,disaster,board
1,18,1486154382,4,learned when younger,learned when older,sleep,skijump,dustpan,thorn
1,18,1486154382,5,learned when younger,learned when older,family,pillow,fear,cold
1,18,1486154382,6,learned when younger,learned when older,famous,twilight,deceit,insane
1,18,1486154382,7,learned when younger,learned when older,car,impressed,air,grass
1,18,1486154382,8,learned when younger,learned when older,snake,alimony,applause,addict
1,18,1486154382,9,learned when younger,learned when older,adventure,ecstasy,alien,muscular
1,18,1486154382,10,learned when younger,learned when older,brave,neglect,pest,starving
1,18,1486154382,11,learned when younger,learned when older,snow,method,vomit,party
1,18,1486154382,12,learned when younger,learned when older,arm,athletics,champion,bomb
1,18,1486154382,13,learned when younger,learned when older,treat,banner,dancer,city
1,18,1486154382,14,learned when younger,learned when older,sad,locker,blubber,spider
1,18,1486154382,15,learned when younger,learned when older,milk,riot,damage,home
1,18,1486154382,16,learned when younger,learned when older,radiator,rancid,cork,sexy
1,18,1486154382,17,learned when younger,learned when older,heaven,narcotic,exercise,invest
1,18,1486154382,18,learned when younger,learned when older,windmill,ambition,mighty,leisurely
1,18,1486154382,19,learned when younger,learned when older,barrel,virtue,cruel,reptile
1,18,1486154382,20,learned when younger,learned when older,fearful,mischief,joy,aloof
1,18,1486154382,21,learned when younger,learned when older,bed,coast,lost,god
1,18,1486154382,22,learned when younger,learned when older,cat,distressed,bees,tamper
1,18,1486154382,23,learned when younger,learned when older,church,cottage,gossip,nipple
1,18,1486154382,24,learned when younger,learned when older,cane,maggot,wounds,lonely
1,18,1486154382,25,learned when younger,learned when older,king,intimate,bless,world
1,18,1486154382,26,learned when younger,learned when older,diver,communal,wise,fantasy
1,18,1486154382,27,learned when younger,learned when older,name,thoughtful,offend,leader
1,18,1486154382,28,learned when younger,learned when older,computer,kerosene,agreement,machine
1,18,1486154382,29,learned when younger,learned when older,chance,deserter,social,obey
1,18,1486154382,30,learned when younger,learned when older,dinner,hardship,window,restaurant
1,18,1486154382,31,learned when younger,learned when older,dirt,obscene,foul,obsession
1,18,1486154382,32,learned when younger,learned when older,green,lavish,sunset,sex
1,18,1486154382,33,learned when younger,learned when older,criminal,humiliate,startled,intellect
1,18,1486154382,34,learned when younger,learned when older,hay,immature,grin,storm
1,18,1486154382,35,learned when younger,learned when older,outdoors,toxic,seat,alley
1,18,1486154382,36,learned when younger,learned when older,good,fungus,girl,lazy
1,18,1486154382,37,learned when younger,learned when older,annoy,sin,opinion,knife
1,18,1486154382,38,learned when younger,learned when older,garbage,unfaithful,impotent,misery
1,18,1486154382,39,learned when younger,learned when older,loved,trauma,fork,skeptical
1,18,1486154382,40,learned when younger,learned when older,shy,troubled,body,dreary
1,18,1486154382,41,learned when younger,learned when older,pig,impair,crown,whistle
1,18,1486154382,42,learned when younger,learned when older,hug,mildew,overcast,ugly
1,18,1486154382,43,learned when younger,learned when older,cook,dagger,taxi,memories
